"OBJECTID","Value","Count","catAbbr","CatName"
1,1,35356728,"su","UNCONSOLIDATED_SEDIMENTS_SU"
2,2,6329752,"vb","BASIC_VOLCANIC_VB"
3,3,28570923,"ss","SILICICLASTIC_SEDIMENTARY_SS"
4,4,1601483,"pb","BASIC_PLUTONIC_PB"
5,5,28732659,"sm","MIXED_SEDIMENTARY_SM"
6,6,12488621,"sc","CARBONATE_SEDIMENTARY_SC"
7,7,1692419,"va","ACID_VOLCANIC_VA"
8,8,22056333,"mt","METAMORPHI_MT"
9,9,10398877,"pa","ACID_PLUTONIC_PA"
10,10,3121157,"vi","INTERMEDIATE_VOLCANI_VI"
11,11,1419152,"wb","WATER_BODIES_WB"
12,12,962991,"py","PYROCLASTICS_PY"
13,13,689039,"pi","INTERMEDIATE_PLUTONIC_PI"
14,14,388790,"ev","EVAPORITES_EV"
15,15,112415,"nd","NO_DATA_ND"
16,16,61757030,"ig","ICE_GLACIERE_IG"
